"","week","state","incidence","inc_factor"
"329",2020-04-12,"New Hampshire",11.0317560128586,"10-25"
"330",2020-04-12,"New Jersey",211.997266439921,">75"
"331",2020-04-12,"New Mexico",15.7380501700425,"10-25"
"332",2020-04-12,"New York",66.9286204207034,"50-75"
"333",2020-04-12,"North Carolina",11.7275948590801,"10-25"
"334",2020-04-12,"North Dakota",2.62445837740236,"1-5"
"335",2020-04-12,"Ohio",17.4521562823485,"10-25"
"336",2020-04-12,"Oklahoma",12.6359278346998,"10-25"
"337",2020-04-12,"Oregon",4.97897332147547,"1-5"
"338",2020-04-12,"Pennsylvania",26.7145988017956,"25-50"
"339",2020-04-12,"Rhode Island",87.7887707778557,">75"
"340",2020-04-12,"South Carolina",10.6822791089192,"10-25"
"341",2020-04-12,"South Dakota",1.13037905000684,"1-5"
"342",2020-04-12,"Tennessee",7.02866847440115,"1-10"
"343",2020-04-12,"Texas",8.03562409433257,"1-10"
"344",2020-04-12,"Utah",2.18343471748538,"1-5"
"345",2020-04-12,"Vermont",20.833700594081,"10-25"
"346",2020-04-12,"Virginia",14.9961589916208,"10-25"
"347",2020-04-12,"Washington",17.4657739773888,"10-25"
"348",2020-04-12,"West Virginia",6.69587930007974,"1-10"
"349",2020-04-12,"Wisconsin",12.7094613695922,"10-25"
"350",2020-04-12,"Wyoming",3.4556698038389,"1-5"
"351",2020-04-19,"Alabama",16.9277724581063,"10-25"
"352",2020-04-19,"Alaska",0,"0"
"353",2020-04-19,"Arizona",13.1891375911442,"10-25"
"354",2020-04-19,"Arkansas",2.98230103744312,"1-5"
"355",2020-04-19,"California",13.8438173929116,"10-25"
"356",2020-04-19,"Colorado",45.3224457589304,"25-50"
"357",2020-04-19,"Connecticut",217.654287018128,">75"
"358",2020-04-19,"Delaware",46.2124292949832,"25-50"
"359",2020-04-19,"Florida",14.2938709045557,"10-25"
"360",2020-04-19,"Georgia",21.5683221813805,"10-25"
"361",2020-04-19,"Hawaii",3.5313926682638,"1-5"
"362",2020-04-19,"Idaho",6.71492083388125,"1-10"
"363",2020-04-19,"Illinois",48.5328825273021,"25-50"
"364",2020-04-19,"Indiana",45.8986851140761,"25-50"
"365",2020-04-19,"Iowa",12.0441067868542,"10-25"
"366",2020-04-19,"Kansas",10.2975511736806,"10-25"
"367",2020-04-19,"Kentucky",13.6536402731355,"10-25"
"368",2020-04-19,"Louisiana",81.096301535409,">75"
"369",2020-04-19,"Maine",13.3907449122609,"10-25"
"370",2020-04-19,"Maryland",61.5315398764076,"50-75"
"371",2020-04-19,"Massachusetts",178.890020069632,">75"
"372",2020-04-19,"Michigan",84.5110729031166,">75"
"373",2020-04-19,"Minnesota",21.8099336978016,"10-25"
"374",2020-04-19,"Mississippi",40.656566589912,"25-50"
"375",2020-04-19,"Missouri",21.3444459144775,"10-25"
"376",2020-04-19,"Montana",3.74259200694625,"1-5"
"377",2020-04-19,"Nebraska",12.9238506044226,"10-25"
"378",2020-04-19,"Nevada",16.557602926605,"10-25"
"379",2020-04-19,"New Hampshire",16.1799088188593,"10-25"
"380",2020-04-19,"New Jersey",201.864630231959,">75"
"381",2020-04-19,"New Mexico",19.0764244485363,"10-25"
"382",2020-04-19,"New York",59.2693543356921,"50-75"
"383",2020-04-19,"North Carolina",11.2508633607435,"10-25"
"384",2020-04-19,"North Dakota",9.18560432090827,"1-10"
"385",2020-04-19,"Ohio",22.2429442814246,"10-25"
"386",2020-04-19,"Oklahoma",13.8995206181698,"10-25"
"387",2020-04-19,"Oregon",3.55640951533962,"1-5"
"388",2020-04-19,"Pennsylvania",70.457801518186,"50-75"
"389",2020-04-19,"Rhode Island",95.3404929953057,">75"
"390",2020-04-19,"South Carolina",9.90538608281602,"1-10"
"391",2020-04-19,"South Dakota",3.39113715002052,"1-5"
"392",2020-04-19,"Tennessee",4.6857789829341,"1-5"
"393",2020-04-19,"Texas",7.96664878021813,"1-10"
"394",2020-04-19,"Utah",4.99070792568087,"1-5"
"395",2020-04-19,"Vermont",12.8207388271268,"10-25"
"396",2020-04-19,"Virginia",20.8540335977226,"10-25"
"397",2020-04-19,"Washington",14.9706634091904,"10-25"
"398",2020-04-19,"West Virginia",8.36984912509967,"1-10"
"399",2020-04-19,"Wisconsin",9.44622128821039,"1-10"
"400",2020-04-19,"Wyoming",8.63917450959726,"1-10"
"401",2020-04-26,"Alabama",19.1712121814698,"10-25"
"402",2020-04-26,"Alaska",1.36696990615752,"1-5"
"403",2020-04-26,"Arizona",15.6621008894837,"10-25"
"404",2020-04-26,"Arkansas",7.95280276651499,"1-10"
"405",2020-04-26,"California",13.4135707828942,"10-25"
"406",2020-04-26,"Colorado",28.131173229681,"25-50"
"407",2020-04-26,"Connecticut",160.996856634543,">75"
"408",2020-04-26,"Delaware",57.5088009004235,"50-75"
"409",2020-04-26,"Florida",14.3869905847157,"10-25"
"410",2020-04-26,"Georgia",26.0891932062987,"25-50"
"411",2020-04-26,"Hawaii",1.41255706730552,"1-5"
"412",2020-04-26,"Idaho",4.47661388925417,"1-5"
"413",2020-04-26,"Illinois",54.0569504572389,"50-75"
"414",2020-04-26,"Indiana",44.710369641867,"25-50"
"415",2020-04-26,"Iowa",19.9678612518898,"10-25"
"416",2020-04-26,"Kansas",4.80552388105093,"1-5"
"417",2020-04-26,"Kentucky",9.62469724171845,"1-10"
"418",2020-04-26,"Louisiana",70.1257143250486,"50-75"
"419",2020-04-26,"Maine",4.46358163742029,"1-5"
"420",2020-04-26,"Maryland",64.3434650858133,"50-75"
"421",2020-04-26,"Massachusetts",160.17403256843,">75"
"422",2020-04-26,"Michigan",66.0868579574134,"50-75"
"423",2020-04-26,"Minnesota",26.7747966533987,"25-50"
"424",2020-04-26,"Mississippi",36.2885057166157,"25-50"
"425",2020-04-26,"Missouri",19.0633600915563,"10-25"
"426",2020-04-26,"Montana",2.80694400520969,"1-5"
"427",2020-04-26,"Nebraska",12.4068965802457,"10-25"
"428",2020-04-26,"Nevada",16.557602926605,"10-25"
"429",2020-04-26,"New Hampshire",17.6508096205738,"10-25"
"430",2020-04-26,"New Jersey",211.5469270529,">75"
"431",2020-04-26,"New Mexico",21.9378881158168,"10-25"
"432",2020-04-26,"New York",42.61430593607,"25-50"
"433",2020-04-26,"North Carolina",11.9182874584147,"10-25"
"434",2020-04-26,"North Dakota",10.4978335096095,"10-25"
"435",2020-04-26,"Ohio",26.5204335663139,"25-50"
"436",2020-04-26,"Oklahoma",10.6141793811479,"10-25"
"437",2020-04-26,"Oregon",5.21606728916478,"1-10"
"438",2020-04-26,"Pennsylvania",68.8174314163213,"50-75"
"439",2020-04-26,"Rhode Island",118.939624924837,">75"
"440",2020-04-26,"South Carolina",13.7898512133321,"10-25"
"441",2020-04-26,"South Dakota",12.4341695500752,"10-25"
"442",2020-04-26,"Tennessee",5.27150135580086,"1-10"
"443",2020-04-26,"Texas",7.65625986670314,"1-10"
"444",2020-04-26,"Utah",2.49535396284044,"1-5"
"445",2020-04-26,"Vermont",8.01296176695423,"1-10"
"446",2020-04-26,"Virginia",21.0883485819667,"10-25"
"447",2020-04-26,"Washington",12.0815880144343,"10-25"
"448",2020-04-26,"West Virginia",9.48582900844629,"1-10"
"449",2020-04-26,"Wisconsin",11.6789645017874,"10-25"
"450",2020-04-26,"Wyoming",0,"0"
"451",2020-05-03,"Alabama",24.2699388254777,"10-25"
"452",2020-05-03,"Alaska",0,"0"
"453",2020-05-03,"Arizona",25.2791803830263,"25-50"
"454",2020-05-03,"Arkansas",5.96460207488624,"1-10"
"455",2020-05-03,"California",14.5271502441156,"10-25"
"456",2020-05-03,"Colorado",23.4426443580675,"10-25"
"457",2020-05-03,"Connecticut",139.119235001278,">75"
"458",2020-05-03,"Delaware",57.5088009004235,"50-75"
"459",2020-05-03,"Florida",16.3425038680751,"10-25"
"460",2020-05-03,"Georgia",21.6625069943997,"10-25"
"461",2020-05-03,"Hawaii",0.70627853365276,"0-1"
"462",2020-05-03,"Idaho",1.67873020847031,"1-5"
"463",2020-05-03,"Illinois",62.3430523521442,"50-75"
"464",2020-05-03,"Indiana",41.1454232252397,"25-50"
"465",2020-05-03,"Iowa",24.4051637523098,"10-25"
"466",2020-05-03,"Kansas",8.92454435052315,"1-10"
"467",2020-05-03,"Kentucky",12.5344894310752,"10-25"
"468",2020-05-03,"Louisiana",72.7070289627805,"50-75"
"469",2020-05-03,"Maine",5.95144218322705,"1-10"
"470",2020-05-03,"Maryland",63.0202061637401,"50-75"
"471",2020-05-03,"Massachusetts",134.348871520259,">75"
"472",2020-05-03,"Michigan",47.6626430117103,"25-50"
"473",2020-05-03,"Minnesota",32.4489257455096,"25-50"
"474",2020-05-03,"Mississippi",40.3205619073507,"25-50"
"475",2020-05-03,"Missouri",21.3444459144775,"10-25"
"476",2020-05-03,"Montana",0,"0"
"477",2020-05-03,"Nebraska",10.3390804835381,"10-25"
"478",2020-05-03,"Nevada",15.9082851647774,"10-25"
"479",2020-05-03,"New Hampshire",34.5661688402903,"25-50"
"480",2020-05-03,"New Jersey",154.691579441557,">75"
"481",2020-05-03,"New Mexico",24.7993517830972,"10-25"
"482",2020-05-03,"New York",62.8162627911671,"50-75"
"483",2020-05-03,"North Carolina",11.9182874584147,"10-25"
"484",2020-05-03,"North Dakota",14.434521075713,"10-25"
"485",2020-05-03,"Ohio",26.5204335663139,"25-50"
"486",2020-05-03,"Oklahoma",9.35058659767787,"1-10"
"487",2020-05-03,"Oregon",4.26769141840755,"1-5"
"488",2020-05-03,"Pennsylvania",99.2033347318139,">75"
"489",2020-05-03,"Rhode Island",126.491347142287,">75"
